Volume	HaloGRP@z0	HaloGRP@Mpeak	Snapshot@Mpeak	Mpeak	Mhalo@z0	Mstar@z0	Mstar,photometric@z0	Mstar@Mpeak	Mstar,photometric@Mpeak	VbandMag	HaloType	Vmax@Mpeak
h229	193	31	2088	1625188100.0	166905710.0	590196.11	236078.44400000002	616456.35	246582.54	-8.349749072278197	Satellite	25.95000
h229	528	33	1632	1451826800.0	52994540.0	1328066.1	531226.4400000001	0.0	0.0	-9.29379618966822	Satellite	24.33000
h229	886	59	0480	785161600.0	31765384.0	570514.09	228205.636	634853.33	253941.332	-8.314341256112169	Satellite	28.99000
h229	1302	64	0672	672242880.0	23250702.0	236015.13	94406.05200000001	258500.56	103400.224	-7.37929487489097	Satellite	23.71000
h229	5313	69	0456	640479550.0	4978633.5	19670.953	7868.381200000001	362678.24	145071.296	-4.659153312289316	Satellite	25.64000
h242	8	5	1536	38118490000.0	11947366000.0	797506100.0	319002440.0	469301120.0	187720448.0	-16.71225581873282	Satellite	80.54000
h242	10	4	1269	42742809000.0	9255541800.0	794841460.0	317936584.0	368632000.0	147452800.0	-16.41278062785318	Satellite	75.94000
h242	21	15	1344	5592725500.0	4014785300.0	12161308.0	4864523.2	8576114.0	3430445.6	-11.768726915372001	Satellite	39.20000
h242	26	13	1269	7767139300.0	3010875100.0	21433540.0	8573416.0	22574607.0	9029842.8	-12.201776077433822	Satellite	47.47000
h242	30	22	1536	3594127100.0	2768437500.0	2262687.9	905075.16	2210557.9	884223.16	-9.899167982006585	Satellite	36.37000
h242	34	37	3168	2185731300.0	2113044100.0	1077035.0	430814.0	1077094.9	430837.95999999996	-8.99034148829912	Satellite	27.31000
h242	38	20	2400	4917662700.0	1976435100.0	1833825.6	733530.2400000001	1422070.6	568828.2400000001	-10.005627274664464	Satellite	30.35000
h242	42	42	4096	1765264900.0	1765264900.0	752357.5399999999	300943.016	752357.5399999999	300943.016	-8.634236692201297	Satellite	26.52000
h242	44	44	4096	1685554200.0	1685554200.0	103198.91	41279.564000000006	103198.91	41279.564000000006	-6.474967984229998	Satellite	22.63000
h242	63	48	2112	1600605100.0	1147377900.0	457402.0	182960.80000000002	458564.5300000001	183425.81200000003	-8.080200041918356	Satellite	24.87000
h242	69	13	2304	9892961300.0	865090750.0	23516613.999999996	9406645.6	23256155.0	9302462.0	-12.561141283760938	Satellite	40.77000
h242	70	56	2208	1397329200.0	1032465700.0	619628.12	247851.24800000002	622989.42	249195.76800000004	-8.446744722001965	Satellite	23.52000
h242	81	37	2016	2102744700.0	880085570.0	314682.44	125872.97600000001	315660.36	126264.144	-7.686127251660632	Satellite	24.91000
h242	138	88	1632	852639810.0	449648830.0	78659.558	31463.823200000003	79159.26	31663.703999999998	-6.138592377695301	Satellite	21.12000
h242	192	47	3168	1688283900.0	316296320.0	363890.88	145556.352	363913.53	145565.412	-7.859121696581321	Satellite	22.37000
h242	401	20	0637	2875933400.0	82780432.0	7590570.7	3036228.2800000003	9514243.5	3805697.4000000004	-11.110701355376097	Satellite	37.24000
h242	421	50	0384	792670850.0	125885340.0	978754.8300000001	391501.93200000003	647401.56	258960.62400000004	-8.890075341909476	Satellite	28.74000
h242	1633	84	0864	692152900.0	28818210.0	39314.662	15725.8648	38463.143	15385.2572	-5.471088507017129	Satellite	22.46000
h242	5495	216	480	181472640.0	6355187.0	167073.67999999996	66829.472	0.0	0.0	-6.981717556110841	Satellite	15.67000
h242	8816	116	1056	599316800.0	4243338.0	4912.0697	1964.82788	0.0	0.0	-3.1583499543692	Satellite	19.21000
